segment	ton	strs	syl	shrt	long	cons	son	cont	delr	appr	tap	trr	nas	lat	lab	rnd	labd	cor	ant	dist	strid	dors	hi	lo	fr	bk	tns	rtr	atr	voi	epi	sg	cg	fort	rlx	llx	clk
n̠d̠ʒ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ŋmɡb	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	+	-	-	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-
ndz	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̠t̠ʃ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
nts	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ŋmkp	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	+	-	-	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-
ɳɖʐ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪d̪z̪	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̠d̠ʒʷ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	+	0	+	-	+	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̠t̠ʃʼ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
mbv	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ntsʼ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
n̤d̤ɮ̤	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
ndʑ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	+	+	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
ŋkx	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-
k̟ʰ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	0	0	-	-	+	-	-	-	-	-
n̠̤d̠̤ʒ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
n̠t̠ʃʷ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	+	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
n̠t̠ʃʰ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
mpfʼ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
n̪t̪s̪	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
m̤b̤v̤	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
n̠̩d̠ʒ	0	-	+	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪t̪s̪ʰ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
ɳʈʂʰ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
